Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Plaint;Plaint;Plaint;x;;x;;Platycleis intermedia;bush-cricket;Decticelle intermediaire;Sauterelle
plane;plane;plane;x;x;x;x;plane;noise;Avion;Autre
Plasab;Plasab;Plasab;x;;x;;Platycleis sabulosa;bush-cricket;Decticelle des sables;Sauterelle
Pleaur;Pleaur;Pleaur;x;;x;x;Plecotus auritus;bat;Oreillard roux;Chauve-souris
Pleaus;Pleaus;Pleaus;x;;x;x;Plecotus austriacus;bat;Oreillard gris;Chauve-souris
Plekol;Plekol;Plekol;;x;;;Plecotus kolombatovici;bat;Oreillard des Balkans;Chauve-souris
Plemac;Plemac;Plemac;x;x;x;;Plecotus macrobullaris;bat;Oreillard montagnard;Chauve-souris
Pluapr;piaf;piaf;x;;;x;Pluvialis apricaria;bird;Pluvier doré;Autre
Poepal;piaf;piaf;x;x;x;x;Poecilus palustris;bird;Mésange nonnette;Autre
Porpar;piaf;piaf;x;x;x;;Porzana parva;bird;Marouette poussin;Autre
Porpor;piaf;piaf;x;x;x;x;Porzana porzana;bird;Marouette ponctuée;Autre
Porpus;piaf;piaf;x;x;x;;Porzana pusilla;bird;Marouette de Baillon;Autre
Prumod;piaf;piaf;x;x;x;x;Prunella modularis;bird;Accenteur mouchet;Autre
Ptebon;Ptebon;Rhasp;x;;;;Rhacocleis bonfilsi;bush-cricket;Decticelle d'Evisa;Sauterelle
Ptecor;Ptecor;Rhasp;x;;;;Rhacocleis corsicana;bush-cricket;Decticelle de Porto-Vecchio;Sauterelle
Pteger;Pteger;Rhasp;x;x;;;Rhacocleis germanica;bush-cricket;Decticelle orientale;Sauterelle
Ptegra;Ptegra;Rhasp;;x;x;;Rhacocleis grallata;bush-cricket;Decticelle a pattes fines;Sauterelle
Ptehey;gril;gril;x;x;x;;Pteronemobius heydenii;ground-cricket;Grillon des marais;Autre
Ptepon;Ptepon;Rhasp;x;x;x;;Rhacocleis poneli;bush-cricket;Decticelle varoise;Sauterelle
Ptyrup;piaf;piaf;x;;;;Ptyonoprogne fuligula;bird;Hirondelle de rochers;Autre
Pycgos;piaf;piaf;x;x;x;;Pycnonotus xanthopygos;bird;Bulbul d'Arabie;Autre
Pycjug;Pycjug;Pycjug;;;x;;Pycnogaster jugicola;bush-cricket;Ephippigere droite;Sauterelle
Pyrpyr;piaf;piaf;x;;;x;Pyrrhula pyrrhula;bird;Bouvreuil pivoine;Autre
Pyrrax;piaf;piaf;x;x;x;x;Pyrrhocorax pyrrhocorax;bird;Crave à bec rouge;Autre
radio;noise;noise;x;x;x;x;radio;noise;Radio;Autre
rain;noise;noise;x;x;x;x;rain;noise;pluie;Autre
Ralaqu;piaf;piaf;x;;;x;Rallus aquaticus;bird;Râle d'eau;Autre
Ratnor;Ratnor;Ratnor;x;x;x;x;Rattus norvegicus;other mammal;Surmulot;Autre
Regign;piaf;piaf;x;x;x;x;Regulus ignicapillus;bird;Roitelet triple-bandeau;Autre
Regreg;piaf;piaf;x;x;x;x;Regulus regulus;bird;Roitelet huppé;Autre
Rhaann;Rhaann;Rhasp;x;x;x;x;Rhacocleis annulata;bush-cricket;Decticelle annelée;Sauterelle
Rhasp;Rhasp;Rhasp;x;x;x;x;Rhacocleis sp.;bush-cricket;Decticelle groupe arboricole;Sauterelle
Rhibla;Rhibla;Rhibla;;x;;;Rhinolophus blasii;bat;Rhinolophe de Blasius;Chauve-souris
Rhieur;Rhieur;Rhieur;x;x;x;;Rhinolophus euryale;bat;Rhinolophe euryale;Chauve-souris
Rhifer;Rhifer;Rhifer;x;x;x;x;Rhinolophus ferrumequinum;bat;Grand Rhinolophe;Chauve-souris
Rhihip;Rhihip;Rhihip;x;x;x;x;Rhinolophus hipposideros;bat;Petit Rhinolophe;Chauve-souris
Rhimeh;Rhimeh;Rhimeh;;x;x;;Rhinolophus mehelyi;bat;Rinolophe de Mehely;Chauve-souris
river;noise;noise;x;x;x;x;watercourse;noise;cours d'eau;Autre
RodTu1;mamm;mamm;x;x;x;;Rodentia sp. from Turkey 1;other mammal;Rongeur de Turquie type 1;Autre
Roeroe;Roeroe;Roeroe;x;x;x;x;Roeseliana roeselii;bush-cricket;Decticelle bariolee;Sauterelle
Rusnit;Rusnit;Rusnit;x;x;x;x;Ruspolia nitidula;bush-cricket;Conocephale gracieux;Sauterelle
SauIn1;SauIn1;SauIn1;;;;;Tettigoniidae sp. from India 1;bush-cricket;Sauterelle sp. In1;Sauterelle
SauIn2;SauIn2;SauIn2;;;;;Tettigoniidae sp. from India 2;bush-cricket;Sauterelle sp. In2;Sauterelle
SauIn3;SauIn3;SauIn3;;;;;Tettigoniidae sp. from India 3;bush-cricket;Sauterelle sp. In3;Sauterelle
Sausp1;Sausp1;Sausp1;x;;x;;Tettigoniidae sp. 1;bush-cricket;Sauterelle sp. 1;Sauterelle
Sausp2;Sausp2;Sausp2;x;;;;Tettigoniidae sp. 2;bush-cricket;Sauterelle sp. 2;Sauterelle
SauTu4;SauTu4;SauTu4;;x;;;Tettigoniidae sp. from Turkey 4;bush-cricket;Sauterelle sp. Tu4;Sauterelle
SauTu5;SauTu5;SauTu5;;x;;;Tettigoniidae sp. from Turkey 5;bush-cricket;Sauterelle sp. Tu5;Sauterelle
SauTu6;SauTu6;SauTu6;;x;;;Tettigoniidae sp. from Turkey 6;bush-cricket;Sauterelle sp. Tu6;Sauterelle
SauTu7;SauTu7;SauTu7;;x;;;Tettigoniidae sp. from Turkey 7;bush-cricket;Sauterelle sp. Tu7;Sauterelle
SauTurquiesp1;SauTurquiesp1;SauTurquiesp1;;x;;;Tettigoniidae sp. from Turkey 1;bush-cricket;Sauterelle sp. Tu1;Sauterelle
SauTurquiesp2;SauTurquiesp2;SauTurquiesp2;;x;;;Tettigoniidae sp. from Turkey 2;bush-cricket;Sauterelle sp. Tu2;Sauterelle
SauTurquiesp3;SauTurquiesp3;SauTurquiesp3;;x;;;Tettigoniidae sp. from Turkey 3;bush-cricket;Sauterelle sp. Tu3;Sauterelle
Saxrube;piaf;piaf;x;;;x;Saxicola rubetra;bird;Tarier des prés;Autre
Saxrubi;piaf;piaf;x;;;x;Saxicola rubicola;bird;Tarier pâtre;Autre
Scorus;piaf;piaf;x;;;x;Scolopax rusticola;bird;Bécasse des bois;Autre
Sepsep;Sepsep;Sepsep;x;;x;;Sepiana sepium;bush-cricket;Decticelle echassiere;Sauterelle
Serser;piaf;piaf;x;x;x;x;Serinus serinus;bird;Serin cini;Autre
Siteur;piaf;piaf;x;x;x;x;Sitta europaea;bird;Sittelle torchepot;Autre
Sorcor;Mussp;Mussp;x;x;x;x;Soricinus coronatus;other mammal;Musaraigne couronnée;Autre
Spispi;piaf;piaf;x;;;x;Spinus spinus;bird;Tarin des aulnes;Autre
Stralu;piaf;piaf;x;x;x;x;Strix aluco;bird;Chouette hulotte;Autre
Strdec;piaf;piaf;x;x;x;;Streptopelia decaocto;bird;Tourterelle turque;Autre
Stuvul;piaf;piaf;x;x;x;x;Sturnus vulgaris;bird;Etourneau sansonnet;Autre
Susscr;Susscr;Susscr;x;;;;Sus scrofa;other mammal;Sanglier;Autre
Sylatr;piaf;piaf;x;x;x;x;Sylvia atricapilla;bird;Fauvette à tête noire;Autre
Sylbor;piaf;piaf;x;;;x;Sylvia borin;bird;Fauvette des jardins;Autre
Sylcan;piaf;piaf;x;;;;Sylvia cantillans;bird;Fauvette passerinette;Autre
Sylcom;piaf;piaf;x;x;x;x;Sylvia communis;bird;Fauvette grisette;Autre
Sylcur;piaf;piaf;x;;;x;Sylvia curruca;bird;Fauvette babillarde;Autre
Sylmel;piaf;piaf;x;x;x;x;Sylvia melanocephala;bird;Fauvette mélanocéphale;Autre
Sylund;piaf;piaf;x;;;x;Sylvia undata;bird;Fauvette pitchou;Autre
Tadten;Tadten;Tadten;x;x;x;;Tadarida teniotis;bat;Molosse;Chauve-souris
Tamsib;Tamsib;Tamsib;x;;;;Tamias sibiricus;other mammal;Tamia de Sibérie;Autre
Tesori;Tesori;Tesori;;;;;Tessellana orina;bush-cricket;Decticelle orina;Sauterelle
Testes;Testes;Testes;x;x;x;;Tessellana tessellata;bush-cricket;Decticelle carroyee;Sauterelle
Tetarg;Tetarg;Tetarg;x;;x;;Tettigetta argentata;cicada;Cigale argentee;Autre
Tetcan;Tetcan;Tetvir;x;x;x;;Tettigonia cantans;bush-cricket;Sauterelle cymbaliere;Sauterelle
Tethis;Tethis;Tetvir;;;x;;Tettigonia hispanica;bush-cricket;Sauterelle hispanique;Sauterelle
Tetpyg;Tetpyg;Tetpyg;x;;x;;Tettigetta pygmea;cicada;Cigale pygmee;Autre
Tetvir;Tetvir;Tetvir;x;x;x;x;Tettigonia viridissima;bush-cricket;Sauterelle verte;Sauterelle
Thycor;Thycor;Thycor;x;;x;;Thyreonotus corsicus;bush-cricket;Decticelle marocaine;Sauterelle
Trineb;piaf;piaf;x;;;x;Tringa nebularia;bird;Chevalier aboyeur;Autre
Trioch;piaf;piaf;x;;;x;Tringa ochropus;bird;Chevalier culblanc;Autre
Tritot;piaf;piaf;x;;;x;Tringa totanus;bird;Chevalier gambette;Autre
Trotro;piaf;piaf;x;x;x;x;Troglodytes troglodytes;bird;Troglodyte mignon;Autre
Turili;piaf;piaf;x;;;x;Turdus iliacus;bird;Grive mauvis;Autre
Turmer;piaf;piaf;x;x;x;x;Turdus merula;bird;Merle noir;Autre
Turphi;piaf;piaf;x;x;x;x;Turdus philomelos;bird;Grive musicienne;Autre
Turpil;piaf;piaf;x;x;x;x;Turdus pilaris;bird;Grive litorne;Autre
Turvis;piaf;piaf;x;;;x;Turdus viscivorus;bird;Grive draine;Autre
Tyllil;Tyllil;Tyllil;x;x;x;;Tylopsis lilifolia;bush-cricket;Phaneroptere liliace;Sauterelle
Tytalb;piaf;piaf;x;;;x;Tyto alba;bird;Effraie des clochers;Autre
Urobre;Urosp;Urosp;x;;;;Uromenus brevicollis;bush-cricket;Ephippigère d'Algérie;Sauterelle
Urorug;Urosp;Urosp;x;;x;;Uromenus rugosicollis;bush-cricket;Ephippigere carenee;Sauterelle
Urosp;Urosp;Urosp;x;x;;;Uromenus sp.;bush-cricket;Ephippigère carénée/d'Algérie;Sauterelle
Vanvan;piaf;piaf;x;;;x;Vanellus vanellus;bird;Vanneau huppé;Autre
Vesmur;Vesmur;Vesmur;x;x;x;;Vespertilio murinus;bat;Serotine bicolore;Chauve-souris
Vulvul;Vulvul;Vulvul;x;;;x;Vulpes vulpes;other mammal;Renard roux;Autre
wind;noise;noise;x;x;x;x;wind;noise;vent;Autre
wings;wings;wings;x;;;x;wings;noise;battements;Autre
Xencin;piaf;piaf;x;x;x;x;Xenus cinereus;bird;Chevalier bargette;Autre
Yerbey;Yerbey;Yerbey;x;;;;Yersinella beybienkoi;bush-cricket;Decticelle italienne;Sauterelle
Yerray;Yerray;Yerray;x;;x;;Yersinella raymondii;bush-cricket;Decticelle frele;Sauterelle
Yposp;Yposp;Yposp;x;x;x;x;Yponomeuta sp.;moth;Hyponomeute sp.;Autre
Zeuabb;Metbra;Metbra;x;;x;;Zeuneriana abbreviata;bush-cricket;Decticelle aquitaine;Sauterelle
